"TripID","DteStart","DteEnd","BatteryAtStart","BatteryAtEnd","DwUpdated","TripApprovedKilometer","DiffInBat","DiffInDte","vehicleId"
2466456,228,193,86,75,"2024-01-28T18:18:18.000Z",49.9000015258789,11,35,"KA03AL2088"
2464753,154,135,66,52,"2024-01-28T18:18:18.000Z",26.2000007629394,14,19,"KA03AL3797"
2468055,119,78,63,41,"2024-01-28T18:18:18.000Z",32.8,22,41,"KA03AL3782"
2468498,155,97,65,49,"2024-01-28T18:18:18.000Z",28.8,16,58,"KA03AL3797"
2469312,175,171,91,78,"2024-01-28T18:18:18.000Z",29.7,13,4,"KA03AL2123"
2468876,146,80,67,41,"2024-01-28T18:18:18.000Z",37.7,26,66,"KA05AM1248"
2469892,159,106,68,51,"2024-01-28T18:18:18.000Z",34.6,17,53,"KA03AL2088"
2470249,153,108,71,52,"2024-01-28T18:18:18.000Z",30,19,45,"KA03AL3783"
2471689,136,90,66,42,"2024-01-28T18:18:18.000Z",50.599998474121,24,46,"KA03AL2088"
2471304,180,132,71,58,"2024-01-28T18:18:18.000Z",21.2999992370605,13,48,"KA03AL3781"
2473188,164,109,69,48,"2024-01-28T18:18:18.000Z",52.2,21,55,"KA03AL3800"
2473500,212,191,97,89,"2024-01-28T18:18:18.000Z",14,8,21,"KA03AL2127"
2472801,191,137,74,59,"2024-01-28T18:18:18.000Z",32.8,15,54,"KA03AL3783"
2474626,162,124,69,58,"2024-01-28T18:18:18.000Z",26.4,11,38,"KA03AL3800"
2474888,147,137,69,60,"2024-01-28T18:18:18.000Z",17,9,10,"KA03AL2123"
2474320,166,130,71,62,"2024-01-28T18:18:18.000Z",19.8,9,36,"KA03AL3783"
2474123,178,128,79,60,"2024-01-28T18:18:18.000Z",34,19,50,"KA03AL3781"
2476293,201,180,96,89,"2024-01-28T18:18:18.000Z",10.6000003814697,7,21,"KA03AL2127"
2475954,160,125,71,60,"2024-01-28T18:18:18.000Z",19.5,11,35,"KA03AL2098"
2475646,128,81,53,36,"2024-01-28T18:18:18.000Z",32.9,17,47,"KA03AL3797"
2476515,152,150,81,67,"2024-01-28T18:18:18.000Z",29.8999996185302,14,2,"KA03AL3782"
2477080,148,79,59,43,"2024-01-28T18:18:18.000Z",29.8999996185302,16,69,"KA03AL3781"
2477475,147,69,64,33,"2024-01-28T18:18:18.000Z",32.7,31,78,"KA03AL3800"
2478661,193,134,76,58,"2024-01-28T18:18:18.000Z",30.3999996185302,18,59,"KA03AL2088"
2479935,124,116,66,60,"2024-01-28T18:18:18.000Z",7.09999990463256,6,8,"KA03AL3800"
2481528,189,157,89,77,"2024-01-28T18:18:18.000Z",32.099998474121,12,32,"KA05AM1248"
2480819,143,101,72,58,"2024-01-28T18:18:18.000Z",30.7999992370605,14,42,"KA03AL2098"
2481203,130,107,65,49,"2024-01-28T18:18:18.000Z",42.7999992370605,16,23,"KA03AL2127"
2482093,133,106,67,52,"2024-01-28T18:18:18.000Z",31.5,15,27,"KA03AL3783"
2482837,193,167,92,86,"2024-01-28T18:18:18.000Z",19.6000003814697,6,26,"KA03AL3781"
2482449,129,90,66,49,"2024-01-28T18:18:18.000Z",28.6,17,39,"KA03AL2098"
2484512,183,159,85,73,"2024-01-28T18:18:18.000Z",26.1,12,24,"KA03AL2123"
2483615,160,113,69,54,"2024-01-28T18:18:18.000Z",29.5,15,47,"KA03AL3782"
2483941,118,69,58,31,"2024-01-28T18:18:18.000Z",33.7,27,49,"KA03AL2088"
2485753,166,110,76,54,"2024-01-28T18:18:18.000Z",35.9,22,56,"KA03AL2088"
2485327,160,113,67,52,"2024-01-28T18:18:18.000Z",29.5,15,47,"KA03AL3800"
2486895,169,126,67,54,"2024-01-28T18:18:18.000Z",24.2999992370605,13,43,"KA03AL2123"
