,Trip ID,Dte Start,Dte End,Battery At Start,Battery At End,Dw Updated,Trip Approved Kilometer,Diff in bat,Diff in Dte
721,2469892.0,159,106,68,51,2024-01-28T23:48:18,34.6,17,53
722,2470249.0,153,108,71,52,2024-01-28T23:48:18,30.0,19,45
725,2471689.0,136,90,66,42,2024-01-28T23:48:18,50.599998474121,24,46
728,2471304.0,180,132,71,58,2024-01-28T23:48:18,21.2999992370605,13,48
730,2473188.0,164,109,69,48,2024-01-28T23:48:18,52.2,21,55
731,2473500.0,212,191,97,89,2024-01-28T23:48:18,14.0,8,21
733,2472801.0,191,137,74,59,2024-01-28T23:48:18,32.8,15,54
734,2474626.0,162,124,69,58,2024-01-28T23:48:18,26.4,11,38
735,2474888.0,147,137,69,60,2024-01-28T23:48:18,17.0,9,10
736,2474320.0,166,130,71,62,2024-01-28T23:48:18,19.8,9,36
740,2474123.0,178,128,79,60,2024-01-28T23:48:18,34.0,19,50
743,2476293.0,201,180,96,89,2024-01-28T23:48:18,10.6000003814697,7,21
744,2475954.0,160,125,71,60,2024-01-28T23:48:18,19.5,11,35
745,2475646.0,128,81,53,36,2024-01-28T23:48:18,32.9,17,47
746,2476515.0,152,150,81,67,2024-01-28T23:48:18,29.8999996185302,14,2
749,2477080.0,148,79,59,43,2024-01-28T23:48:18,29.8999996185302,16,69
750,2477475.0,147,69,64,33,2024-01-28T23:48:18,32.7,31,78
752,2478661.0,193,134,76,58,2024-01-28T23:48:18,30.3999996185302,18,59
754,2479935.0,124,116,66,60,2024-01-28T23:48:18,7.09999990463256,6,8
756,2481528.0,189,157,89,77,2024-01-28T23:48:18,32.099998474121,12,32
758,2480819.0,143,101,72,58,2024-01-28T23:48:18,30.7999992370605,14,42
759,2481203.0,130,107,65,49,2024-01-28T23:48:18,42.7999992370605,16,23
761,2482093.0,133,106,67,52,2024-01-28T23:48:18,31.5,15,27
763,2482837.0,193,167,92,86,2024-01-28T23:48:18,19.6000003814697,6,26
764,2482449.0,129,90,66,49,2024-01-28T23:48:18,28.6,17,39
765,2484512.0,183,159,85,73,2024-01-28T23:48:18,26.1,12,24
766,2483615.0,160,113,69,54,2024-01-28T23:48:18,29.5,15,47
767,2483941.0,118,69,58,31,2024-01-28T23:48:18,33.7,27,49
773,2485753.0,166,110,76,54,2024-01-28T23:48:18,35.9,22,56
774,2485327.0,160,113,67,52,2024-01-28T23:48:18,29.5,15,47
777,2486895.0,169,126,67,54,2024-01-28T23:48:18,24.2999992370605,13,43
778,2487577.0,261,252,96,86,2024-01-28T23:48:18,28.3,10,9
779,2487297.0,143,96,65,39,2024-01-28T23:48:18,53.7,26,47
782,2489084.0,208,147,95,83,2024-01-28T23:48:18,18.8999996185302,12,61
783,2488433.0,137,111,72,55,2024-01-28T23:48:18,32.7999992370605,17,26
784,2488269.0,206,128,77,60,2024-01-28T23:48:18,26.1000003814697,17,78
786,2489959.0,166,129,83,71,2024-02-08T12:45:52,22.4,12,37
788,2489730.0,145,119,73,59,2024-02-08T12:45:52,24.4,14,26
791,2491243.0,159,106,67,49,2024-02-08T12:45:52,34.9000015258789,18,53
792,2491938.0,208,173,90,84,2024-02-08T12:45:52,13.8,6,35
793,2491633.0,155,110,75,58,2024-02-08T12:45:52,29.1,17,45
795,2493402.0,249,189,89,80,2024-01-29T00:20:38,18.0,9,60
798,2494460.0,143,104,65,49,2024-02-08T12:45:52,34.4000015258789,16,39
800,2494169.0,217,190,95,89,2024-02-08T12:45:52,11.5,6,27
801,2494274.0,160,136,80,72,2024-02-08T12:45:52,18.8999996185302,8,24
802,2494699.0,132,99,65,45,2024-02-08T12:45:52,39.5,20,33
803,2495940.0,142,97,70,50,2024-02-08T18:45:51,32.5,20,45
804,2496416.0,214,176,95,84,2024-02-08T18:45:51,21.2999992370605,11,38
805,2495555.0,130,95,66,48,2024-02-08T18:45:51,28.2999992370605,18,35
808,2497021.0,172,126,79,61,2024-02-09T08:00:09,32.0,18,46
810,2497412.0,119,87,60,47,2024-02-09T08:00:09,19.1000003814697,13,32
